id,duration,ip,ex1t,ex2t,A1,A2,A3,A4_1,A4_2,A4_3,A4_4,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,B1,B1a,B2,B3,B4,B5,B6,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B8_1,B8_2,B8_3,B9,B11_1,B11_2,B11_3,B11_4,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B13,B14_1,B14_2,B14_3,B14_4,B14_5,B14_6,B15_1,B15_2,B15_3,B15_4,B16,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
27716,633,Jiangsu,1,0,3,3,3,0,0,0,1,0,0,0,0,0,0,1,3,3,3,2,4,4,2,4,2,2,0,0,3,0,0,3,2,1,1,0,0,0,1,10,10,1,2,2,4,5,4,0,1,0,1,1,0,1,0,0,2,1,3,2,5,4,4,1,10,0,1,Jiangsu,0,1,5,4,6,4,3
27717,497,Shandong,0,0,8,4,4,1,1,0,0,1,0,0,1,1,0,0,3,3,3,2,4,4,4,5,3,4,0,0,3,0,0,4,4,1,1,0,1,1,1,7,8,5,4,4,5,4,4,1,0,0,0,1,0,2,2,2,1,3,1,2,4,4,5,3,7,1,2,Liaoning,1,2,5,4,5,1,3
27718,827,Shandong,1,1,9,4,2,1,0,0,1,0,0,0,0,0,0,1,3,3,3,3,4,4,4,4,3,4,0,0,3,1,0,4,5,1,1,0,1,1,1,5,7,9,4,2,1,2,2,1,0,0,0,1,0,4,0,0,0,1,1,1,4,4,5,4,8,0,2,Shandong,1,2,5,4,6,1,1
27719,487,Tianjin,0,1,6,3,0,0,0,0,1,0,0,0,0,0,0,1,3,2,3,2,4,4,4,4,2,3,1,2,3,0,0,4,2,1,1,0,0,0,1,7,7,5,4,4,4,5,4,1,1,1,0,1,0,3,0,0,1,3,0,1,4,4,5,4,8,1,3,Tianjin,0,2,6,1,5,1,3
27720,854,Chongqing,1,0,3,4,4,1,0,0,0,0,1,0,0,0,1,0,3,4,2,2,2,4,4,5,2,4,0,0,2,0,0,4,5,1,1,0,1,1,1,8,5,10,4,4,5,2,4,1,0,0,0,1,0,2,0,1,2,1,1,1,4,5,4,4,8,0,2,Chongqing,1,2,3,4,5,1,3
27721,651,Jiangsu,0,1,8,4,3,1,0,0,0,1,0,1,0,0,1,0,3,3,4,1,3,4,2,4,1,4,0,0,2,1,0,4,3,1,0,1,1,1,1,2,5,6,4,4,4,2,4,1,0,0,1,1,0,2,2,0,1,0,1,1,5,4,5,5,10,1,3,Jiangsu,1,2,5,5,6,1,3
27722,477,Zhejiang,1,0,6,4,3,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,4,3,4,0,0,3,1,0,4,2,1,1,0,1,1,1,2,5,8,2,4,4,4,5,1,0,0,0,1,0,2,0,1,1,2,1,1,4,4,4,4,5,1,3,Zhejiang,1,2,3,4,5,1,2
27723,865,Jiangxi,1,1,9,4,4,1,0,0,0,0,0,0,0,0,0,1,2,1,2,4,3,4,4,5,3,4,0,0,3,1,0,4,1,1,1,1,1,1,1,6,8,6,4,4,5,4,4,1,0,1,1,1,0,3,1,0,2,1,0,1,5,4,4,5,7,1,2,Jiangxi,0,2,5,4,6,3,2
27724,698,Heilongjiang,1,1,6,3,3,1,1,0,0,0,0,0,1,0,0,0,2,3,3,2,4,4,4,5,4,5,0,0,3,0,0,4,3,1,0,1,0,1,1,5,5,7,5,4,5,4,4,1,0,0,0,1,0,3,0,0,0,2,0,0,5,5,5,5,7,0,3,Heilongjiang,1,2,5,4,6,1,1
27725,1474,Jiangsu,1,1,3,3,3,1,0,0,0,0,0,1,0,1,0,0,3,4,3,2,4,4,5,5,3,4,0,0,3,0,0,4,1,1,1,0,0,0,1,5,7,9,4,4,4,5,4,1,0,0,0,1,0,2,1,0,2,3,2,2,4,5,5,5,10,1,1,Jiangsu,1,2,4,4,3,4,1
